6,10,0,9,2022,610000,15397,303,7803,7022,0,0,5542,2611,38678
6,20,0,9,2022,620000,22230,427,1890,14073,8580,670,6900,5392,60162
6,22,0,9,2022,622000,6899,520,1321,6143,0,20108,7680,3644,46315
7,10,56,9,2022,710056,1001,66,103,114,260,0,145,268,1957
7,10,261,9,2022,710261,4918,237,421,346,150,0,953,1204,8229
7,10,269,9,2022,710269,6693,131,497,319,254,0,1024,2126,11044
7,10,398,9,2022,710398,5728,118,339,598,339,0,982,1228,9332
7,10,549,9,2022,710549,1423,80,89,114,8,0,252,337,2303
7,10,551,9,2022,710551,1903,63,159,93,106,0,270,485,3079
7,10,566,9,2022,710566,19879,269,1446,949,444,0,4562,4462,32011
7,10,862,9,2022,710862,1085,51,138,124,54,0,121,214,1787
7,10,924,9,2022,710924,1945,109,137,89,46,0,403,659,3388
7,10,973,9,2022,710973,1971,48,65,169,14,0,379,455,3101
7,10,981,9,2022,710981,1979,111,146,127,206,0,510,750,3829
7,10,985,9,2022,710985,2041,121,188,304,92,0,416,782,3944
7,10,990,9,2022,710990,2507,99,163,119,134,0,503,882,4407
7,20,33,9,2022,720033,7416,243,538,140,88,0,1183,1178,10786
7,20,40,9,2022,720040,1548,49,143,110,22,0,251,242,2365
7,20,60,9,2022,720060,516,86,67,256,11,5,54,137,1132
7,20,105,9,2022,720105,2811,125,267,788,40,142,448,581,5202
7,20,131,9,2022,720131,1707,147,89,49,58,7,224,444,2725
7,20,143,9,2022,720143,2330,67,151,143,33,17,285,453,3479
7,20,168,9,2022,720168,1710,76,132,205,34,1,276,434,2868
7,20,186,9,2022,720186,1258,69,57,129,37,0,121,248,1919
7,20,188,9,2022,720188,2501,111,252,121,31,-4,327,535,3874
7,20,194,9,2022,720194,5237,178,352,507,120,0,810,1018,8222
7,20,331,9,2022,720331,6295,149,809,432,131,84,700,1530,10130
7,20,335,9,2022,720335,3473,106,255,543,83,4,535,806,5805
7,20,336,9,2022,720336,3833,238,351,234,93,7,464,853,6073
7,20,345,9,2022,720345,12369,559,957,845,361,353,2350,2691,20485
7,20,376,9,2022,720376,4454,99,309,162,44,10,541,740,6359
7,20,735,9,2022,720735,7797,182,563,798,129,0,761,1534,11764
7,20,899,9,2022,720899,4505,151,282,108,184,88,786,1053,7157
7,20,922,9,2022,720922,2074,53,132,103,48,2,185,411,3008
7,22,12,9,2022,722012,21097,199,3233,1763,0,0,4905,947,32144
7,22,114,9,2022,722114,3249,38,234,455,181,271,575,446,5449
7,22,146,9,2022,722146,9917,218,1568,2634,0,1525,1923,2307,20092
7,22,198,9,2022,722198,72636,419,13777,6121,144,0,15187,14099,122383
7,22,216,9,2022,722216,24718,378,4164,4152,0,0,4467,4988,42867
7,22,308,9,2022,722308,2588,71,337,537,0,1,509,529,4572
7,22,313,9,2022,722313,4325,206,434,951,0,286,719,899,7820
7,22,350,9,2022,722350,3045,87,435,814,0,188,909,802,6280
7,22,406,9,2022,722406,1631,36,190,487,0,13,366,360,3083
7,22,644,9,2022,722644,8175,228,902,3039,0,0,2294,2053,16691
7,22,825,9,2022,722825,53981,356,3850,8504,6868,0,11358,10234,95151
7,22,918,9,2022,722918,55091,372,10423,6097,0,0,10613,11380,93976
7,25,31,9,2022,725031,832,8,30,117,2,0,119,163,1271
7,25,131,9,2022,725131,3553,80,271,1483,123,0,747,697,6954
7,25,247,9,2022,725247,2441,25,155,237,41,0,472,504,3875
7,25,256,9,2022,725256,42889,598,2797,5686,451,0,6758,13463,72642
7,25,326,9,2022,725326,18368,358,1272,1024,7242,176,3133,3350,34923
7,25,429,9,2022,725429,2223,121,143,995,109,0,595,626,4812
7,25,450,9,2022,725450,6338,76,445,153,267,0,1615,1765,10659
7,25,457,9,2022,725457,16485,307,1112,505,3980,0,4971,2105,29465
7,25,466,9,2022,725466,987,28,120,125,372,0,239,36,1907
7,25,488,9,2022,725488,1642,55,92,691,16,169,333,260,3258
7,25,646,9,2022,725646,731,27,53,407,16,16,93,323,1666
7,25,676,9,2022,725676,3340,106,162,366,1178,0,519,661,6332
7,25,715,9,2022,725715,860,53,54,484,10,1,136,200,1798
7,25,818,9,2022,725818,2348,115,312,1090,95,0,859,656,5475
7,25,839,9,2022,725839,5109,95,926,76,0,0,989,1109,8304
7,25,898,9,2022,725898,30096,255,2805,8291,0,0,5182,5359,51988
7,25,940,9,2022,725940,3177,114,237,1317,39,0,557,503,5944
7,25,947,9,2022,725947,4952,149,308,1212,60,0,706,1000,8387
7,25,983,9,2022,725983,2917,141,207,1142,54,3,466,1030,5960
8,10,586,9,2022,810586,1053,67,141,133,4,0,386,409,2193
9,25,0,9,2022,925000,61977,926,4089,5218,17900,0,35945,15564,141619
20,0,2,9,2022,2000002,3829,159,375,2201,439,0,0,395,7398
20,0,4,9,2022,2000004,3155,0,0,9521,1,0,1450,724,14851
20,0,7,9,2022,2000007,8387,0,977,5291,2053,0,0,1046,17754
20,0,9,9,2022,2000009,4485,48,114,1094,1458,0,0,226,7425
20,0,11,9,2022,2000011,1773,21,71,168,135,0,0,112,2280
20,0,12,9,2022,2000012,4799,0,366,4964,2073,0,0,-795,11407
