6,10,0,9,2022,610000,0,0,0,0,157833,157833,23721,0,2165,0,0,25886
6,20,0,9,2022,620000,0,0,43323,1232,37705,82260,0,0,2853,0,0,2853
6,22,0,9,2022,622000,0,0,0,0,10598,10598,26632,0,3107,0,0,29739
7,10,56,9,2022,710056,5900,2379,0,4,30,8313,0,0,216,0,0,216
7,10,261,9,2022,710261,19901,11022,0,8,0,30931,0,0,0,0,0,0
7,10,269,9,2022,710269,32597,10800,0,8,1,43406,501,0,909,0,0,1410
7,10,398,9,2022,710398,34503,0,0,0,1,34504,0,0,833,0,0,833
7,10,549,9,2022,710549,9810,0,0,0,0,9810,0,0,233,0,0,233
7,10,551,9,2022,710551,11039,0,0,0,0,11039,0,0,273,0,0,273
7,10,566,9,2022,710566,148909,9692,0,13,588,159202,12939,14956,3047,0,0,30942
7,10,862,9,2022,710862,5193,0,0,0,0,5193,0,0,195,0,0,195
7,10,924,9,2022,710924,15972,0,0,0,0,15972,0,0,478,0,0,478
7,10,973,9,2022,710973,14690,0,0,0,0,14690,0,0,324,0,0,324
7,10,981,9,2022,710981,18989,2148,0,0,0,21137,0,0,468,0,0,468
7,10,985,9,2022,710985,18127,0,0,0,0,18127,0,0,657,0,0,657
7,10,990,9,2022,710990,20155,0,0,0,0,20155,0,0,558,0,0,558
7,20,33,9,2022,720033,2593,61490,0,0,80,64163,0,0,1421,0,0,1421
7,20,40,9,2022,720040,395,6036,0,5,1,6437,0,0,235,0,0,235
7,20,60,9,2022,720060,1164,0,0,0,0,1164,0,0,145,0,0,145
7,20,105,9,2022,720105,3852,5038,0,0,2,8892,0,0,634,0,0,634
7,20,131,9,2022,720131,2772,2251,0,0,31,5054,0,0,363,0,0,363
7,20,143,9,2022,720143,4784,911,0,0,1,5696,0,0,483,0,0,483
7,20,168,9,2022,720168,8677,2263,0,0,840,11780,0,0,302,0,0,302
7,20,186,9,2022,720186,323,2079,0,0,236,2638,0,0,312,0,0,312
7,20,188,9,2022,720188,3607,2376,0,0,550,6533,0,0,372,0,0,372
7,20,194,9,2022,720194,10785,5036,0,0,0,15821,0,0,1051,0,0,1051
7,20,331,9,2022,720331,2703,12453,0,0,410,15566,35,0,1309,0,0,1344
7,20,335,9,2022,720335,3260,6983,0,0,7,10250,0,0,721,0,0,721
7,20,336,9,2022,720336,990,7612,0,0,268,8870,0,0,1082,0,0,1082
7,20,345,9,2022,720345,15094,30654,0,1,1033,46782,416,0,2669,0,0,3085
7,20,376,9,2022,720376,3743,8614,0,0,481,12838,0,0,974,0,0,974
7,20,735,9,2022,720735,4529,12423,0,0,2901,19853,0,0,1457,0,0,1457
7,20,899,9,2022,720899,17056,3287,0,10,84,20437,2786,0,490,0,0,3276
7,20,922,9,2022,720922,544,4374,0,10,73,5001,0,0,398,0,0,398
7,22,12,9,2022,722012,208213,100564,0,0,2574,311351,0,30245,2307,0,20,32572
7,22,114,9,2022,722114,17894,18261,0,0,383,36538,0,0,464,0,0,464
7,22,146,9,2022,722146,95474,56079,0,0,10437,161990,6562,18991,1152,0,0,26705
7,22,198,9,2022,722198,415430,392887,0,0,4617,812934,57510,111629,7375,0,0,176514
7,22,216,9,2022,722216,161870,133814,0,0,5646,301330,10258,9761,3284,0,0,23303
7,22,308,9,2022,722308,11528,18112,0,0,287,29927,0,0,389,0,0,389
7,22,313,9,2022,722313,12655,26160,0,0,615,39430,1614,1645,1115,0,0,4374
7,22,350,9,2022,722350,31282,20447,0,0,783,52512,0,0,477,0,0,477
7,22,406,9,2022,722406,11393,13127,0,0,237,24757,0,0,272,0,0,272
7,22,644,9,2022,722644,83596,59887,0,0,2262,145745,7358,17458,1378,0,0,26194
7,22,825,9,2022,722825,526780,407125,0,10,6842,940757,42721,65568,5894,0,0,114183
7,22,918,9,2022,722918,493970,290013,0,0,7026,791009,53155,36982,6609,0,0,96746
7,25,31,9,2022,725031,1,9239,0,3,9,9252,0,0,158,0,0,158
7,25,131,9,2022,725131,24559,21770,0,0,1064,47393,0,3877,645,0,0,4522
7,25,247,9,2022,725247,10403,24060,0,0,13,34476,0,0,480,0,0,480
7,25,256,9,2022,725256,136411,320256,0,0,74,456741,7164,26263,0,0,0,33427
7,25,326,9,2022,725326,163981,121062,0,14,3735,288792,2555,13387,3723,0,0,19665
7,25,429,9,2022,725429,27703,18031,0,0,841,46575,0,0,348,0,0,348
7,25,450,9,2022,725450,87480,18224,0,0,19,105723,0,0,0,0,0,0
7,25,457,9,2022,725457,199895,160475,0,3,3800,364173,7298,14347,2391,0,0,24036
7,25,466,9,2022,725466,4841,7757,0,0,240,12838,0,0,153,0,0,153
7,25,488,9,2022,725488,5325,17649,0,0,607,23581,0,0,278,0,0,278
7,25,646,9,2022,725646,4854,2190,0,0,342,7386,0,0,108,0,0,108
7,25,676,9,2022,725676,13060,26773,0,0,15,39848,1589,0,520,0,0,2109
7,25,715,9,2022,725715,4512,6545,0,0,466,11523,0,0,170,0,0,170
7,25,818,9,2022,725818,31213,23633,0,0,674,55520,0,0,554,0,0,554
7,25,839,9,2022,725839,44919,22891,0,0,21,67831,2694,8521,581,0,0,11796
7,25,898,9,2022,725898,147975,271869,0,3,31829,451676,8426,48407,3618,0,0,60451
7,25,940,9,2022,725940,10971,23861,0,0,757,35589,0,1562,416,0,0,1978
7,25,947,9,2022,725947,33035,26109,0,5,729,59878,0,0,650,0,0,650
7,25,983,9,2022,725983,19366,17552,0,0,1085,38003,0,0,512,0,0,512
8,10,586,9,2022,810586,16504,0,0,0,0,16504,0,0,218,0,0,218
