7,20,143,9,2022,720143,100,5587,,5587,5587,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,0,,0,0,510,,,,0,520,,0,0,0,530,0,,0,0,540,0,,0,0,600,5587,0,5587,5587
7,25,326,9,2022,725326,100,18196,,18196,18196,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,0,,0,0,510,,,,0,520,,0,0,0,530,0,,0,0,540,930321,,930321,930321,600,948517,0,948517,948517
7,25,818,9,2022,725818,100,1485,,1485,1485,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,0,,0,0,510,,,,0,520,,0,0,0,530,0,,0,0,540,142989,,142989,142989,600,144474,0,144474,144474
7,25,466,9,2022,725466,100,541,,541,541,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,0,,0,0,510,,,,0,520,,0,0,0,530,0,,0,0,540,0,,0,0,600,541,0,541,541
7,10,551,9,2022,710551,100,2677,,2677,2677,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,0,,0,0,510,,,,0,520,,0,0,0,530,0,,0,0,540,0,,0,0,600,2677,0,2677,2677
20,0,4,9,2022,2000004,100,0,,0,0,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,0,,0,0,510,,,,0,520,,0,0,0,530,0,,0,0,540,0,,0,0,600,0,0,0,0
7,10,924,9,2022,710924,100,2982,,2982,2982,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,0,,0,0,510,,,,0,520,,0,0,0,530,0,,0,0,540,0,,0,0,600,2982,0,2982,2982
20,0,11,9,2022,2000011,100,0,,0,0,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,0,,0,0,510,,,,0,520,,0,0,0,530,0,,0,0,540,0,,0,0,600,0,0,0,0
7,22,308,9,2022,722308,100,1956,,1956,1956,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,0,,0,0,510,,,,0,520,,0,0,0,530,0,,0,0,540,0,,0,0,600,1956,0,1956,1956
7,25,940,9,2022,725940,100,1822,,1822,1822,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,0,,0,0,510,,,,0,520,,0,0,0,530,0,,0,0,540,0,,0,0,600,1822,0,1822,1822
7,20,131,9,2022,720131,100,1905,,1905,1905,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,1227,,1227,1227,510,,,,0,520,,0,0,0,530,35157,,35157,35157,540,34128,,34128,34128,600,72417,0,72417,72417
7,20,345,9,2022,720345,100,21792,,21792,21792,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,0,,0,0,510,,,,0,520,,0,0,0,530,0,,0,0,540,568517,,568517,568517,600,590309,0,590309,590309
7,20,899,9,2022,720899,100,8066,,8066,8066,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,0,,0,0,510,,,,0,520,,0,0,0,530,0,,0,0,540,309160,,309160,309160,600,317226,0,317226,317226
7,10,566,9,2022,710566,100,28602,,28602,28602,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,0,,0,0,510,,,,0,520,,0,0,0,530,801155,,801155,801155,540,0,,0,0,600,829757,0,829757,829757
7,25,31,9,2022,725031,100,517,,517,517,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,0,,0,0,510,,,,0,520,,0,0,0,530,0,,0,0,540,25910,,25910,25910,600,26427,0,26427,26427
7,20,336,9,2022,720336,100,4820,,4820,4820,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,56491,,56491,56491,510,,,,0,520,,0,0,0,530,0,,0,0,540,0,,0,0,600,61311,0,61311,61311
7,20,33,9,2022,720033,100,10531,,10531,11640,210,,,,0,220,,0,0,0,230,41568,,41568,41568,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,0,,0,0,510,,,,0,520,,0,0,0,530,126433,,126433,126433,540,129924,,129924,129924,600,308456,0,308456,309565
7,25,131,9,2022,725131,100,3750,,3750,3750,210,,,,0,220,,0,0,0,230,0,,0,0,310,,,,0,320,,0,0,0,330,0,,0,0,410,,,,0,420,,0,0,0,430,0,,0,0,510,,,,0,520,,0,0,0,530,0,,0,0,540,0,,0,0,600,3750,0,3750,3750
