7,22,12,9,2022,722012,1973577,1989144,0,0,1973577,1989144,40555,38843,2014132,2027987,1973692,1989238,12846464,13150459,12806024,13111710,1947768,1963266,12124769,12407478,0,0
7,22,114,9,2022,722114,302121,302929,0,0,302121,302929,2847,3696,304968,306625,302120,302929,1695651,1693880,1692803,1690184,300056,300872,1478615,1474375,0,0
7,22,146,9,2022,722146,1001154,1003184,0,0,1001154,1003184,7512,8506,1008666,1011690,1001334,1003338,5509786,5629759,5502454,5621406,993233,995251,5034997,5167501,0,0
7,22,198,9,2022,722198,6203120,6299790,0,0,6203120,6299790,72958,74000,6276078,6373790,6203120,6299790,41254117,42030155,41193213,41973155,6203120,6299790,37190625,37515948,0,0
7,22,216,9,2022,722216,2193656,2205390,0,0,2193656,2205390,27395,30048,2221051,2235438,2193656,2205390,13091923,13197000,13068916,13168609,2193655,2205390,11346982,11424243,0,0
7,22,308,9,2022,722308,237995,239433,0,0,237995,239433,2332,2608,240327,242041,237996,239433,1347079,1378599,1344748,1375991,236039,237480,1264074,1295320,0,0
7,22,313,9,2022,722313,322953,324498,0,0,322953,324498,2421,3446,325374,327944,322953,324498,1791995,1829219,1789647,1825857,316811,318347,1794338,1826285,0,0
7,22,350,9,2022,722350,365916,364023,0,0,365916,364023,9966,11765,375882,375788,365917,364023,2369484,2411177,2359633,2399516,362414,360517,2215457,2255545,0,0
7,22,406,9,2022,722406,171878,172596,0,0,171878,172596,1229,1172,173107,173768,171879,172596,964844,996955,963736,995903,170188,170911,958690,998058,0,0
7,22,644,9,2022,722644,959650,967659,0,0,959650,967659,16836,16822,976486,984481,959653,967662,6150010,6238715,6133177,6221896,947276,955298,5787805,5870091,0,0
7,22,825,9,2022,722825,4694120,4736892,0,0,4694120,4736892,71080,65201,4765200,4802093,4694161,4736930,28173690,28780377,28110708,28723894,4612688,4655259,29468739,30293593,0,0
7,22,918,9,2022,722918,3688599,3702086,200000,200000,3888599,3902086,269972,273767,4158571,4175853,4123201,4136657,27190187,27585544,27135422,27526953,3432734,3447307,26882027,27279147,0,0
7,25,31,9,2022,725031,58287,58867,0,0,58287,58867,1554,1591,59841,60458,59954,60557,353514,355111,353695,355281,57770,58347,349611,351747,0,0
7,25,131,9,2022,725131,293043,296292,0,0,293043,296292,4752,4234,297795,300526,293043,296292,1973673,1992023,1969579,1988341,289293,292569,1878131,1895974,0,0
7,25,247,9,2022,725247,245421,248072,0,0,245421,248072,1899,2063,247320,250135,245421,248072,1372103,1404608,1370204,1402545,243909,246567,1269139,1297560,0,0
7,25,256,9,2022,725256,2044849,2061339,300000,300000,2344849,2361339,239211,246652,2584060,2607991,2592118,2608176,19471432,19833399,19483093,19837597,2034161,2050678,16991981,17302214,0,0
7,25,326,9,2022,725326,1808602,1821799,0,0,1808602,1821799,60429,56554,1869031,1878353,1776078,1779925,11030477,11145538,10947900,11057764,1790406,1803543,10207808,10315158,0,0
7,25,429,9,2022,725429,247891,250695,0,0,247891,250695,2860,2781,250751,253476,250284,253083,1630461,1650861,1628178,1648762,246115,248924,1531996,1565644,0,0
7,25,450,9,2022,725450,569851,577136,0,0,569851,577136,13244,13381,583095,590517,569851,577136,4207176,4126703,4195542,4114769,567892,662676,4024102,4116728,0,0
7,25,457,9,2022,725457,2008648,1939750,0,0,2008648,1939750,73689,72796,2082337,2012546,2008648,1985478,14418176,14215118,14344487,14142322,2003737,1934833,13762854,0,0,0
7,25,466,9,2022,725466,122201,123244,0,0,122201,123244,2541,2700,124742,125944,122201,123244,776342,794234,774137,791903,121660,122704,660699,672473,0,0
7,25,488,9,2022,725488,175691,177778,0,0,175691,177778,1939,1559,177630,179337,175691,177778,1022148,1040175,1020465,1038856,174863,176956,920732,935062,0,0
7,25,646,9,2022,725646,62740,62770,0,0,62740,62770,533,558,63273,63328,62740,62770,264800,270256,264336,269758,62283,62311,272706,279877,0,0
7,25,676,9,2022,725676,273543,273587,0,0,273543,273587,7436,7299,280979,280886,273543,273587,1613997,1658426,1606891,1651596,272787,272828,1416509,1447512,0,0
7,25,715,9,2022,725715,95628,96490,0,0,95628,96490,1536,1625,97164,98115,95628,96490,428128,432934,426915,431586,94898,95759,415535,420551,0,0
7,25,818,9,2022,725818,326518,327951,0,0,326518,327951,4745,5876,331263,333827,326518,327951,2344639,2374033,2340273,2368558,325033,326475,2152879,2172199,0,0
7,25,839,9,2022,725839,477951,484391,0,0,477951,484391,4436,4900,482387,489291,477951,484391,2919662,3000234,2916230,2996734,477951,484391,2583982,2634703,0,0
7,25,898,9,2022,725898,2727061,2753517,0,0,2727061,2753517,79120,81000,2806181,2834517,2730159,2756832,15778376,15930984,15719365,15871299,2727061,2753516,14832506,15042494,0,0
7,25,940,9,2022,725940,252115,252919,0,0,252115,252919,3432,4304,255547,257223,252891,253695,1522932,1539094,1520086,1535336,250293,251096,1456107,1475935,0,0
7,25,947,9,2022,725947,412788,415000,0,0,412788,415000,10435,11396,423223,426396,412788,415000,2051469,2121305,2041889,2111138,411565,413777,1968241,2026336,0,0
7,25,983,9,2022,725983,214676,216042,0,0,214676,216042,2317,2259,216993,218301,214676,216042,1221026,1246525,1219412,1244949,212241,213603,1313686,1336369,0,0
8,10,586,9,2022,810586,134327,136489,0,0,134327,136489,2454,2442,136781,138931,134327,136489,970293,980896,967896,978530,132085,134230,957649,956376,0,0
9,25,0,9,2022,925000,10637526,10765584,1819602,2032645,12457128,12798229,830172,807141,13287300,13605370,12485546,12827707,88992937,89191488,88300505,88564636,5637522,5716316,177853771,182756967,0,0
20,0,2,9,2022,2000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66200,0,0,0
20,0,4,9,2022,2000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,7,9,2022,2000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42734,0,0,0
20,0,9,9,2022,2000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18931,0,0,0
20,0,11,9,2022,2000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3839,0,0,0
20,0,12,9,2022,2000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35577,0,0,0
