7,20,143,9,2022,720143,
100,218,,,218,,,,0,0,0,0,,,,,,,
210,0,,,0,,,,0,0,0,0,,,,,,,
220,0,,,0,,,,0,,0,,,,,,,,
310,0,,,0,,,,0,0,0,0,0,,,,,,
320,0,,,0,,,,0,0,0,0,0,,,,,,
410,0,,,,,,,0,,,,,,,0,0,0,
420,0,,,,,,,0,,,,,,,0,0,0,
430,0,,,,,,,0,,,,,,,0,0,0,
510,773715,,,0,,,,6119,11945,754194,1457,,,,,,,
520,0,,,0,,,,0,0,0,0,,,,,,,
600,53,,,0,,,,0,53,0,0,,,,,,,
700,3737,,,0,,,,0,,3737,,,,,,,,
800,777723,,,218,,,,6119,11998,757931,1457,0,,,0,0,0,
900,368,1.0000,368,0,,,,0,0,368,0,,,,,,,
1000,250,0.5000,125,0,,,,0,0,125,0,,,,,,,
1110,0,0.2000,0,0,,,,0,0,0,0,,,,,,,
1120,0,0.5000,0,0,,,,0,0,0,0,,,,,,,
1200,0,1.0000,0,0,0,0,,0,0,0,0,,,,,0,0,
1310,38121,0.2000,7625,0,,,,12,265,7348,0,,,,,,,
1320,117802,0.5000,58901,0,,,,1699,63,57139,0,,,,,,,
1330,0,0.2000,0,0,,,,0,0,0,0,,,,,,,
1400,0,,0,0,,,0,0,0,0,0,,,,,0,0,
1500,0,,0,0,0,0,,0,0,0,0,,,,,,,
1600,,,0,0,,,,0,0,0,0,,0,0,0,,,
1700,0,1.0000,0,0,,,,0,0,0,0,,,,,0,0,
1800,,,,0,0,0,0,1711,328,64980,0,0,0,0,0,0,0,
1900,,,,218,0,0,0,7830,12326,822911,1457,0,0,0,0,0,0,
2000,,,,,,,,,,,,,,,,,,
2100,,,,0,0,0,0,1566,6163,822911,2186,0,0,0,0,0,0,
832826,7713,7713,832826,0,832826,830384
7,25,326,9,2022,725326,
100,11733,,,11733,,,,0,0,0,0,,,,,,,
210,0,,,0,,,,0,0,0,0,,,,,,,
220,288776,,,288776,,,,0,,0,,,,,,,,
310,0,,,0,,,,0,0,0,0,0,,,,,,
320,0,,,0,,,,0,0,0,0,0,,,,,,
410,0,,,,,,,0,,,,,,,0,0,0,
420,0,,,,,,,0,,,,,,,0,0,0,
430,0,,,,,,,0,,,,,,,0,0,0,
510,10195000,,,0,,,,345111,403633,9406015,40240,,,,,,,
520,0,,,0,,,,0,0,0,0,,,,,,,
600,0,,,0,,,,0,0,0,0,,,,,,,
700,86313,,,28888,,,,0,,57424,,,,,,,,
800,10581822,,,329397,,,,345111,403633,9463439,40240,0,,,0,0,0,
