6,10,0,9,2022,610000,-505560,-576602,0,0,71874,-832
6,20,0,9,2022,620000,-969506,-966591,0,-3086,171,0
6,22,0,9,2022,622000,-804451,-861716,0,-1781,59046,0
7,10,56,9,2022,710056,-484,0,0,0,0,-484
7,10,261,9,2022,710261,-332,0,0,0,0,-332
7,10,269,9,2022,710269,264,985,0,0,0,-721
7,10,398,9,2022,710398,-931,0,0,0,0,-931
7,10,549,9,2022,710549,-71,0,0,0,0,-71
7,10,551,9,2022,710551,-298,0,0,0,0,-298
7,10,566,9,2022,710566,-3009,0,0,0,0,-3009
7,10,862,9,2022,710862,1,0,0,0,0,1
7,10,924,9,2022,710924,-853,0,0,0,0,-853
7,10,973,9,2022,710973,-96,0,0,0,0,-96
7,10,981,9,2022,710981,-211,0,0,0,0,-211
7,10,985,9,2022,710985,-5,0,0,0,0,-5
7,10,990,9,2022,710990,-429,0,0,0,0,-429
7,20,33,9,2022,720033,-15012,0,0,-15012,0,0
7,20,40,9,2022,720040,0,0,0,0,0,0
7,20,60,9,2022,720060,0,0,0,0,0,0
7,20,105,9,2022,720105,-254,0,0,-254,0,0
7,20,131,9,2022,720131,-184,116,0,-300,0,0
7,20,143,9,2022,720143,-280,0,0,-280,0,0
7,20,168,9,2022,720168,0,0,0,0,0,0
7,20,186,9,2022,720186,0,0,0,0,0,0
7,20,188,9,2022,720188,-468,0,0,-468,0,0
7,20,194,9,2022,720194,-36,0,0,-36,0,0
7,20,331,9,2022,720331,-1150,0,0,-1150,0,0
7,20,335,9,2022,720335,0,0,0,0,0,0
7,20,336,9,2022,720336,-408,0,0,-408,0,0
7,20,345,9,2022,720345,-485,0,0,-485,0,0
7,20,376,9,2022,720376,-229,0,0,-229,0,0
7,20,735,9,2022,720735,-1544,0,0,-1544,0,0
7,20,899,9,2022,720899,0,0,0,0,0,0
7,20,922,9,2022,720922,0,0,0,0,0,0
7,22,12,9,2022,722012,-3411,0,0,-3411,0,0
7,22,114,9,2022,722114,-1187,0,0,-1187,0,0
7,22,146,9,2022,722146,-1524,0,0,-1524,0,0
7,22,198,9,2022,722198,0,0,0,0,0,0
7,22,216,9,2022,722216,-9551,0,0,-9551,0,0
7,22,308,9,2022,722308,-275,0,0,-275,0,0
7,22,313,9,2022,722313,0,0,0,0,0,0
7,22,350,9,2022,722350,-1136,0,0,-1136,0,0
7,22,406,9,2022,722406,0,0,0,0,0,0
7,22,644,9,2022,722644,0,0,0,0,0,0
7,22,825,9,2022,722825,-814,0,0,-814,0,0
7,22,918,9,2022,722918,-15290,0,0,-15290,0,0
7,25,31,9,2022,725031,0,0,0,0,0,0
7,25,131,9,2022,725131,-43,0,0,-43,0,0
7,25,247,9,2022,725247,-11,0,0,0,0,-11
7,25,256,9,2022,725256,-15966,0,0,-15966,0,0
7,25,326,9,2022,725326,-97715,0,0,-38642,-58819,-254
7,25,429,9,2022,725429,0,0,0,0,0,0
7,25,450,9,2022,725450,-1,0,0,-1,0,0
7,25,457,9,2022,725457,-55415,-51728,0,-3687,0,0
7,25,466,9,2022,725466,0,0,0,0,0,0
7,25,488,9,2022,725488,-404,0,0,-404,0,0
7,25,646,9,2022,725646,-183,0,0,-183,0,0
7,25,676,9,2022,725676,0,0,0,0,0,0
7,25,715,9,2022,725715,0,0,0,0,0,0
7,25,818,9,2022,725818,57,0,0,57,0,0
7,25,839,9,2022,725839,0,0,0,0,0,0
7,25,898,9,2022,725898,-65438,-40080,0,-25358,0,0
7,25,940,9,2022,725940,0,0,0,0,0,0
7,25,947,9,2022,725947,-194,0,0,-194,0,0
7,25,983,9,2022,725983,-156,0,0,-156,0,0
8,10,586,9,2022,810586,100,0,0,0,0,100
9,25,0,9,2022,925000,-1932422,-1966655,0,0,72050,-37817
20,0,2,9,2022,2000002,-13315,0,0,-13315,0,0
20,0,4,9,2022,2000004,0,0,0,0,0,0
20,0,7,9,2022,2000007,-3462,0,0,0,0,-3462
20,0,9,9,2022,2000009,-35,0,0,-35,0,0
20,0,11,9,2022,2000011,0,0,0,0,0,0
20,0,12,9,2022,2000012,2,0,0,2,0,0
