7,22,644,9,2022,722644,5650092,53476,0,5650092,905,14384,0,5938713,,4781074,14146,4795220,4853125,1085588,0,0,144402,26063
7,22,825,9,2022,722825,27727871,224483,0,28764456,60801,67214,406,30443214,,24627402,5213,24632615,24904293,5538921,0,1036585,938449,110809
7,22,918,9,2022,722918,24926813,204897,0,26124262,26736,77802,2036,27692128,,22345901,278954,22624855,23065986,4626142,20869,1176580,775883,94356
7,25,31,9,2022,725031,341932,5399,0,341932,0,572,0,361195,,273088,17098,290186,291324,69871,0,0,9252,158
7,25,131,9,2022,725131,1821612,18484,0,1821612,0,7840,47,1929761,,1566309,11424,1577733,1585151,344610,0,0,47393,4518
7,25,247,9,2022,725247,1213964,19431,0,1213964,0,13698,917,1306589,,991761,27325,1019086,1029017,277572,0,0,34476,480
7,25,256,9,2022,725256,16570256,151307,0,16570256,0,102781,4160,17556709,,13995143,546082,14541225,14663773,2892936,0,0,456741,32593
7,25,326,9,2022,725326,10107367,34095,1137,10108504,0,39835,1059,10523746,,8348213,2782,8350995,8539385,1984361,0,0,288792,19069
7,25,429,9,2022,725429,1489847,20065,0,1489847,0,1064,0,1583285,,1255015,19378,1274393,1281711,301574,0,0,46575,348
7,25,450,9,2022,725450,3948074,47905,0,3952577,0,8375,0,4140152,,3370695,70865,3441560,3454252,685900,0,4503,105723,0
7,25,457,9,2022,725457,12672584,126345,0,13512777,0,51237,10601,14163963,,11157382,547108,11704490,11783542,2380421,0,840193,364173,23935
7,25,466,9,2022,725466,645422,8698,0,645422,0,0,0,674818,,484615,51483,536098,541166,133652,0,0,12838,153
7,25,488,9,2022,725488,899307,12451,0,899307,0,1644,0,946240,,709843,30009,739852,745457,200783,0,0,23581,278
7,25,646,9,2022,725646,262050,4019,0,262050,0,1096,0,280623,,205782,2008,207790,210155,70468,0,0,7386,108
7,25,676,9,2022,725676,1382796,17709,0,1382796,0,2189,0,1460441,,1096090,42479,1138569,1142966,317475,0,0,39848,2109
7,25,715,9,2022,725715,401298,6672,0,401298,5,1028,0,427855,,294912,23838,318750,319907,107948,0,0,11523,170
7,25,818,9,2022,725818,2094412,30342,0,2094412,0,3694,0,2213949,,1778667,28649,1807316,1826303,387646,0,0,55520,554
7,25,839,9,2022,725839,2508803,30936,0,2508803,0,6278,0,2657261,,2093944,0,2093944,2106050,551211,0,0,67831,11649
7,25,898,9,2022,725898,14076147,123187,0,14579407,4147,36098,0,15340378,,11464810,592064,12056874,12262312,3078066,0,503260,447057,51420
7,25,940,9,2022,725940,1407996,20872,0,1407996,0,6152,0,1494887,,1173687,23536,1197223,1203216,291671,0,0,35589,1976
