7,20,335,9,2022,720335,16749,0,0,0,0,0,16749,,7640,0,7640,9109,-444,,2291,508,0,2799,-395,5805,6152,9,6143,0,6143,,57,7640,0,0,0,0,6143,0,0,0,0,0
7,20,336,9,2022,720336,17363,0,0,6,0,21,17390,,7178,0,7178,10212,-12,,2304,122,0,2426,-135,6075,6440,3,6437,0,6437,,458,7178,0,3,0,3,6440,0,0,0,0,0
7,20,345,9,2022,720345,80275,0,202,0,0,0,80477,,37681,0,37681,42796,0,,9809,2271,0,12080,91,20505,35036,339,34697,0,34697,,625,37682,0,3,0,3,34700,0,0,0,0,-574
7,20,376,9,2022,720376,18288,0,56,8,30,0,18382,,8605,0,8605,9777,-975,,2414,1385,0,3799,37,6359,8211,0,8211,0,8211,,351,8605,0,3,0,3,8214,0,0,0,0,18
7,20,735,9,2022,720735,29789,0,0,3,63,0,29855,,12295,0,12295,17560,-968,,3957,1929,0,5886,730,11784,13386,0,13386,0,13386,,465,12294,0,130,0,130,13516,0,0,0,0,-26
7,20,899,9,2022,720899,29671,0,0,0,75,1,29747,,14958,11,14969,14778,954,,5252,410,0,5662,-30,7157,12299,36,12263,0,12263,,518,14959,0,0,0,0,12263,0,0,0,0,0
7,20,922,9,2022,720922,6811,0,0,1,0,2,6814,,2994,32,3026,3788,-2953,,817,279,0,1096,63,3009,4891,3,4888,0,4888,,2,2994,0,0,0,0,4888,0,0,0,0,0
7,22,12,9,2022,722012,129113,0,0,45,-2,60,129216,,55241,0,55241,73975,-2194,,16063,10380,0,26443,0,32146,70466,-91,70557,0,70557,,646,55241,0,108,0,108,70665,0,0,0,2349,0
7,22,114,9,2022,722114,16121,0,0,0,0,0,16121,,6547,0,6547,9574,859,,1777,1799,0,3576,86,5449,6928,24,6904,0,6904,,-20,6547,0,39,0,39,6943,0,0,0,281,0
7,22,146,9,2022,722146,52937,0,0,0,279,144,53360,,21530,0,21530,31830,757,,8344,4020,0,12364,-10,20092,23335,0,23335,0,23335,,206,21530,0,69,0,69,23404,0,0,0,2727,0
7,22,198,9,2022,722198,377828,0,0,0,0,33,377861,,170240,62,170302,207559,-4042,,40510,55354,1446,97310,6429,122387,187953,1861,186092,0,186092,,-108,170240,0,0,0,0,186092,0,0,0,667,5000
7,22,216,9,2022,722216,122772,0,0,0,0,-5,122767,,51598,0,51598,71169,6645,,15374,18780,0,34154,-900,42867,57671,916,56755,0,56755,,-53,51598,0,313,0,313,57068,0,0,0,3337,-2760
7,22,308,9,2022,722308,13948,0,0,0,0,0,13948,,5338,0,5338,8610,312,,1578,532,0,2110,0,4572,5836,-44,5880,0,5880,,9,5338,0,12,0,12,5892,0,0,0,147,0
7,22,313,9,2022,722313,21077,0,0,0,0,0,21077,,8046,0,8046,13031,1013,,1928,790,0,2718,22,7820,6928,-100,7028,0,7028,,261,8046,0,0,0,0,7028,0,0,0,0,10
7,22,350,9,2022,722350,25006,0,0,0,2,0,25008,,10279,0,10279,14729,1829,,2477,784,0,3261,-7,6280,9884,291,9593,0,9593,,89,10279,0,54,0,54,9647,0,0,0,73,-10
7,22,406,9,2022,722406,11276,0,0,0,103,0,11379,,4380,0,4380,6999,-58,,1282,534,0,1816,12,3083,5802,-12,5814,0,5814,,21,4380,0,0,0,0,5814,0,0,0,284,0
7,22,644,9,2022,722644,61305,0,0,0,0,62,61367,,26251,26,26277,35090,0,,7213,3475,0,10688,23,16691,29110,52,29058,0,29058,,294,26251,0,0,0,0,29058,0,0,0,636,0
7,22,825,9,2022,722825,289032,0,0,0,4672,96,293800,,136833,0,136833,156967,-6410,,46068,18177,0,64245,6340,95151,138180,4317,133863,0,133863,,6668,136833,0,28,0,28,133891,0,0,0,12425,631
7,22,918,9,2022,722918,267841,36,0,0,8505,705,277087,,122470,1761,124231,152856,3517,,43215,28481,0,71696,4070,94065,131040,7689,123351,0,123351,,724,122470,0,1497,0,1497,124848,0,0,0,13136,0
7,25,31,9,2022,725031,4137,0,0,0,0,0,4137,,1442,60,1502,2635,40,,306,45,0,351,8,1271,1681,0,1681,0,1681,,0,1442,0,0,0,0,1681,0,0,0,0,2
7,25,131,9,2022,725131,21029,0,0,0,0,2,21031,,8365,12,8377,12654,-405,,1833,735,0,2568,522,6954,9302,3,9299,0,9299,,198,8365,0,40,0,40,9339,0,0,0,0,-107
7,25,247,9,2022,725247,14558,0,0,0,0,0,14558,,4626,140,4766,9792,170,,1218,129,0,1347,101,3886,7184,14,7170,0,7170,,73,4626,0,0,1,1,7171,0,0,0,0,0
7,25,256,9,2022,725256,208861,0,0,154,0,0,209015,,76101,2966,79067,129948,7230,,26059,6427,857,33343,181,72776,83051,0,83051,0,83051,,1114,76101,0,1052,0,1052,84103,0,0,0,0,415
7,25,326,9,2022,725326,123235,0,0,11,0,54,123300,,53563,10,53573,69727,-4125,,11462,8230,0,19692,-853,34895,57515,501,57014,0,57014,,370,53563,0,0,0,-17411,39603,-17411,0,0,0,281
7,25,429,9,2022,725429,16759,0,0,0,0,0,16759,,6597,77,6674,10085,-185,,2012,624,0,2636,0,4812,7988,0,7988,0,7988,,0,6598,0,0,0,0,7988,0,0,0,0,106
7,25,450,9,2022,725450,47267,0,0,0,47,0,47314,,18743,375,19118,28196,304,,4554,178,0,4732,0,10659,22131,0,22131,0,22131,,44,18743,0,0,0,0,22131,0,0,0,0,-166
7,25,457,9,2022,725457,152463,0,0,8,4187,0,156658,,53967,1835,55802,100856,4395,,15610,4469,0,20079,193,30349,86384,-1,86385,0,86385,,293,53967,-28374,250,0,-28124,58261,0,0,0,0,0
7,25,466,9,2022,725466,7628,0,0,0,0,0,7628,,2835,224,3059,4569,128,,598,13,0,611,0,1907,3113,3,3110,0,3110,,0,2835,0,0,0,0,3110,0,0,0,0,32
