6,10,0,9,2022,610000,25000,504660,3736532,4158671,104658,13550,4125,0,0,0,0
6,20,0,9,2022,620000,30000,425643,3531806,4136440,66714,5294,813,0,275895,0,0
6,22,0,9,2022,622000,65467,1184816,2066984,17282880,152925,0,0,0,0,0,0
7,10,56,9,2022,710056,0,22545,87313,0,278,17,0,0,93723,23326,0
7,10,261,9,2022,710261,0,121059,153721,0,632,73,0,0,0,0,0
7,10,269,9,2022,710269,0,244305,574053,0,7087,53,108,0,0,0,0
7,10,398,9,2022,710398,0,15770,173676,0,849,70,0,0,210142,210142,0
7,10,549,9,2022,710549,0,28285,87892,0,423,120,0,0,0,0,0
7,10,551,9,2022,710551,0,1160,11013,0,0,0,0,0,0,0,0
7,10,566,9,2022,710566,0,542631,1243303,0,17591,492,2636,0,2218140,2497346,0
7,10,862,9,2022,710862,0,1883,23913,0,39,16,0,0,0,0,0
7,10,924,9,2022,710924,0,32194,59054,0,2177,124,939,0,0,0,0
7,10,973,9,2022,710973,0,6952,58637,0,114,12,12,0,0,0,0
7,10,981,9,2022,710981,0,8196,100219,0,220,41,0,0,0,0,0
7,10,985,9,2022,710985,0,20721,97524,0,280,24,0,0,0,0,0
7,10,990,9,2022,710990,0,27957,98186,0,111,0,0,0,0,0,0
7,20,33,9,2022,720033,0,108920,332432,0,1015,299,0,0,781534,441352,0
7,20,40,9,2022,720040,0,13986,52878,0,12,0,0,0,100988,117190,0
7,20,60,9,2022,720060,0,2556,26318,0,281,0,69,0,12533,16283,0
7,20,105,9,2022,720105,0,45535,136394,0,578,124,70,0,0,0,0
7,20,131,9,2022,720131,0,45451,76000,0,703,84,0,0,53060,14494,0
7,20,143,9,2022,720143,0,41721,118916,0,385,245,0,0,0,0,0
7,20,168,9,2022,720168,49348,12946,42951,0,836,49,51,0,283519,59079,0
7,20,186,9,2022,720186,0,15284,24639,0,121,0,0,0,80540,83458,0
7,20,188,9,2022,720188,0,9179,150790,0,383,280,151,0,229246,367125,0
7,20,194,9,2022,720194,0,64483,159144,0,141,0,0,0,0,0,0
7,20,331,9,2022,720331,0,36913,165885,0,1224,153,45,0,131441,152871,0
7,20,335,9,2022,720335,212656,25442,34313,0,832,565,0,0,105818,173675,0
7,20,336,9,2022,720336,0,42584,75980,0,123,0,0,0,0,0,0
7,20,345,9,2022,720345,0,252066,939900,0,9636,3741,784,0,181277,335019,0
7,20,376,9,2022,720376,181489,6207,233664,0,2569,1119,134,0,259409,388975,0
7,20,735,9,2022,720735,0,151754,56769,0,347,0,0,0,345137,416737,0
7,20,899,9,2022,720899,0,148312,309081,0,1220,45,119,0,428545,503329,0
7,20,922,9,2022,720922,0,42467,117563,0,91,0,36,0,10055,10055,0
7,22,12,9,2022,722012,0,451466,2974934,0,50006,156,0,0,875548,1250938,0
7,22,114,9,2022,722114,0,115654,425975,0,8104,0,0,0,17880,17880,0
7,22,146,9,2022,722146,0,422911,1121424,0,25589,0,0,0,270360,270362,0
7,22,198,9,2022,722198,0,3221264,8682666,0,129725,0,0,0,3645555,6098278,0
7,22,216,9,2022,722216,276,690626,3764108,0,58366,4450,0,0,3181017,3971681,0
7,22,308,9,2022,722308,0,47417,185654,0,566,0,0,0,179752,262799,0
7,22,313,9,2022,722313,0,23984,298023,0,4969,32,0,0,10822,21351,0
7,22,350,9,2022,722350,0,137056,296357,0,3336,0,0,0,226547,650496,0
7,22,406,9,2022,722406,0,43420,115892,0,2,0,0,0,31676,34230,0
7,22,644,9,2022,722644,0,239919,1043185,0,21389,0,0,0,187397,199301,0
7,22,825,9,2022,722825,0,2419597,3717277,0,35800,200,0,0,4710854,4996536,0
7,22,918,9,2022,722918,763665,2328171,3957393,0,94126,0,0,0,9800755,13136376,0
7,25,31,9,2022,725031,0,55191,39416,0,0,0,0,0,21658,30896,0
7,25,131,9,2022,725131,160022,19355,177620,0,3660,0,0,0,40273,43100,0
7,25,247,9,2022,725247,0,73240,200409,0,0,0,2374,0,123536,141461,0
7,25,256,9,2022,725256,0,523435,4685808,0,55933,0,0,0,6217973,9399528,0
7,25,326,9,2022,725326,0,2195125,1581032,0,27965,0,41416,0,1501820,1929272,0
7,25,429,9,2022,725429,36195,244935,152711,0,325,5,0,0,457436,586326,0
7,25,450,9,2022,725450,0,96944,1087860,0,0,1500,0,0,493773,617435,0
7,25,457,9,2022,725457,0,2335020,2095355,0,26799,0,0,0,3955794,4762263,0
7,25,466,9,2022,725466,0,49330,225927,0,498,12,0,0,79485,106373,0
7,25,488,9,2022,725488,3830,86284,203516,0,2784,0,0,0,31758,40728,0
7,25,646,9,2022,725646,26448,3600,20391,0,506,0,0,0,4113,10849,0
7,25,676,9,2022,725676,102186,80050,401267,0,1788,8,200,0,483293,617953,0
7,25,715,9,2022,725715,93226,9013,32882,0,145,0,100,0,26035,60386,0
7,25,818,9,2022,725818,0,157339,471180,0,1417,2955,0,0,628281,716978,0
7,25,839,9,2022,725839,0,321708,573911,0,6208,0,0,0,150722,231324,0
7,25,898,9,2022,725898,0,1888469,2590809,0,72706,2360,9206,0,5455693,6531039,0
7,25,940,9,2022,725940,191133,3228,156215,0,3181,0,0,0,70696,80696,0
7,25,947,9,2022,725947,351309,40850,459514,0,7443,0,261,0,229693,280908,0
7,25,983,9,2022,725983,222616,14605,42754,0,1153,0,148,0,18527,22847,0
8,10,586,9,2022,810586,0,3955,64780,0,221,20,0,0,35432,35432,0
9,25,0,9,2022,925000,0,19663289,17455200,11370930,1708635,280996,105528,0,34645271,58438638,0
